,gdp_real_level,gdp_real_growth_rate,unemployment_rate,employment_level,labor_force_level,emp_total_nonfarm,emp_total_private,emp_construction,emp_manufacturing,emp_trade_transport_util,emp_retail,emp_prof_business,emp_edu_health,emp_leisure_hospitality,emp_government,v,gdp_real_level_monthly_linear,gdp_real_growth_rate_monthly_linear,gdp_log_growth_linear,u
1952-06-01,2747.01689010989,2.2076923076923074,,,,,,,,,,,,,,,2747.01689010989,2.2076923076923074,0.0024481121008292916,
1952-07-01,2753.517,2.9,,,,,,,,,,,,,,,2753.517,2.9,0.002363448001851509,
1952-08-01,2783.985956521739,6.572826086956522,,,,,,,,,,,,,,,2783.985956521739,6.572826086956522,0.011004694444872953,
1952-09-01,2814.454913043478,10.245652173913044,,,,,,,,,,,,,,,2814.454913043478,10.245652173913044,0.010884908160791795,
1952-10-01,2843.941,13.8,,,,,,,,,,,,,,,2843.941,13.8,0.010422160029412986,
1952-11-01,2861.7558913043476,11.744565217391305,,,,,,,,,,,,,,,2861.7558913043476,11.744565217391305,0.0062446181544677515,
1952-12-01,2878.9961086956523,9.755434782608695,,,,,,,,,,,,,,,2878.9961086956523,9.755434782608695,0.0060062755611713925,
1953-01-01,2896.811,7.7,,,,,,,,,,,,,,,2896.811,7.7,0.006168816743179484,
1953-02-01,2904.5248333333334,6.115555555555556,,,,,,,,,,,,,,,2904.5248333333334,6.115555555555556,0.0026593316094745134,
1953-03-01,2911.492166666667,4.684444444444445,,,,,,,,,,,,,,,2911.492166666667,4.684444444444445,0.0023959134460138642,
1953-04-01,2919.206,3.1,,,,,,,,,,,,,,,2919.206,3.1,0.0026459396844824568,
1953-05-01,2913.7924835164836,1.3527472527472524,,,,,,,,,,,,,,,2913.7924835164836,1.3527472527472524,-0.0018561698766461632,
1953-06-01,2908.1985164835164,-0.45274725274725336,,,,,,,,,,,,,,,2908.1985164835164,-0.45274725274725336,-0.0019216686368705993,
1953-07-01,2902.785,-2.2,,,,,,,,,,,,,,,2902.785,-2.2,-0.001863201998166808,
1953-08-01,2887.9791304347823,-3.446739130434783,,,,,,,,,,,,,,,2887.9791304347823,-3.446739130434783,-0.005113626283213435,
1953-09-01,2873.173260869565,-4.693478260869566,,,,,,,,,,,,,,,2873.173260869565,-4.693478260869566,-0.005139909919239294,
1953-10-01,2858.845,-5.9,,,,,,,,,,,,,,,2858.845,-5.9,-0.004999387671388966,
1953-11-01,2854.2445326086954,-4.552173913043479,,,,,,,,,,,,,,,2854.2445326086954,-4.552173913043479,-0.001610501064058134,
1953-12-01,2849.7924673913044,-3.247826086956522,,,,,,,,,,,,,,,2849.7924673913044,-3.247826086956522,-0.0015610228760625233,
1954-01-01,2845.192,-1.9,,,,,,,,,,,,,,,2845.192,-1.9,-0.0016156210498330381,
1954-02-01,2846.2642555555553,-1.1077777777777778,,,,,,,,,,,,,,,2846.2642555555553,-1.1077777777777778,0.0003767948026283108,
1954-03-01,2847.2327444444445,-0.39222222222222225,,,,,,,,,,,,,,,2847.2327444444445,-0.39222222222222225,0.0003402088025099559,
1954-04-01,2848.305,0.4,,,,,,,,,,,,,,,2848.305,0.4,0.0003765247870646249,
