K,s,c_exponent,c_max,firing_threshold,idio_std,mse_u,mse_v,mse_combined,mse_du,mse_dv,mse_d_combined
6.460534689628214,0.024930323461485975,4.448610751522606,0.19033554222143878,0.17518672976079971,0.10204799883797123,0.0008347820474908709,0.003361048035550403,0.0015758490378688784,7.535775321680036e-05,5.507837221585839e-05,3.7587676228334137e-05
5.9030805560361905,0.02069975537829176,2.1828355625810785,0.8224532175472277,0.13018414644587847,0.1467211839269493,0.0012288833033862986,0.005362768979999138,0.00259562477455978,0.00010560182792784769,8.984506158429778e-05,6.188013098403433e-05
9.696566723021425,0.0478363055867164,1.0980682732589155,1.16471494307965,0.2731368210776501,0.02020864455636577,0.00036106695226937956,0.002892995965943027,0.0007070404925754933,4.5512073715806605e-05,2.9850346309016654e-05,1.825500275934917e-05
4.828605185970327,0.017873504405668254,1.3517309631241181,0.6501152952216517,0.3253293755853064,0.011237137525550875,0.00036133882077817974,0.0012060033354891321,0.000298375824078934,4.177504279398762e-05,1.8357234821635604e-05,1.4546167347815238e-05
4.408923067993337,0.05615779546903119,1.4565265056100025,0.6896747421787728,0.3933144580155193,0.12328416313567217,0.001958583614576256,0.017456396248291817,0.007333294817334204,8.903286487798466e-05,0.00012055956049574301,4.773955630339623e-05
8.547607958849722,0.0270072186433623,1.9302165832022873,1.228886195473243,0.45647464567752427,0.02176754792108343,0.0003582550594763708,0.0008111635452513494,0.00021114882874947812,4.5956219734260604e-05,2.0635602608762174e-05,1.7403043572885296e-05
3.943254963541028,0.01452215633822161,1.9131265865984155,0.9105045987328346,0.20642847016927024,0.10192608292145937,0.0014779571261914256,0.003954954935391792,0.002303110889903079,6.497511137120981e-05,5.96813610873221e-05,3.6836922270932656e-05
3.2753025994564053,0.03966282976519422,3.523779619494982,1.8795279300271814,0.3587728424064666,0.043130290230883564,0.0006406355999789077,0.016419663312966997,0.005287562902750583,4.5543279842974674e-05,9.94774613472301e-05,3.596850179171117e-05
9.728487723815517,0.010678409143758127,2.6080225660788576,1.7455664591723277,0.0881235157691893,0.11481854672562805,0.00044693316137279463,0.0012183415921721578,0.00046725057032383856,9.938906022727563e-05,6.28024990100925e-05,5.5038979436208546e-05
2.1639498929101784,0.016913469258641567,4.045721776016832,0.4485943353458795,0.04576935779100625,0.0385324976522828,0.0008682785092508921,0.006882113132206263,0.0028011261993611774,4.449661810387772e-05,4.990792359678557e-05,2.3402493284468063e-05
2.0367180668832123,0.04022816356510399,2.462637846066618,1.3464367036946512,0.34670130386718107,0.083047745526369,0.002647299834594444,0.02907867638099751,0.011890862307293998,5.377078067839653e-05,0.00015612520323027567,4.964695582856496e-05
5.1184087220085726,0.024416367557844286,4.312531453401674,0.48638856840967604,0.08237089184846029,0.0010217079431857755,0.00041287064545155236,0.002763713124541498,0.0005455441257081359,4.20760551090934e-05,2.768460955217167e-05,1.687076342717787e-05
6.050073211215115,0.03508499504569402,2.8767509897699672,0.3018416083630886,0.23337978654798464,0.05434346124143987,0.0005521755630659697,0.004129184800435334,0.001539206045162299,5.224937201605346e-05,4.001307287610668e-05,2.2563752280910506e-05
1.9729190138511203,0.031729395034676,0.3948015759695712,1.2921600514875982,0.08647068783980323,0.07764983586118729,0.0025606704196769604,0.02158331705400144,0.009371989361941961,5.387593523582072e-05,0.00012317754428158728,4.208192162756257e-05
5.348536194711597,0.010579206807103239,0.5567441426590973,0.3076649672222078,0.03488506736671909,0.046972753495111264,0.000502582298273042,0.0004823849289137467,0.0002857040025549479,4.8570408451774984e-05,1.903124579027269e-05,1.7868795250725876e-05
6.833306369284759,0.03717352811910829,1.313860290102829,1.3648318036480422,0.3920188049599337,0.10501475136647594,0.0008342426130796165,0.005291534673322693,0.002205323594816561,8.317211515949957e-05,6.346383919141747e-05,4.0299201758426245e-05
8.143322247779814,0.04817301083047948,1.1250456122206551,1.992892742072582,0.3765200120761922,0.11715075286994747,0.0007639084053206943,0.0064279609275293805,0.002456310376553405,0.00011325975148714781,7.417665382493158e-05,4.927316776953629e-05
4.69356614958307,0.020458411682423818,2.0334717624132237,0.36379815581027347,0.33155724717102547,0.016218556839837615,0.000361045229707777,0.0019240062698503483,0.0005333043774042466,4.256045990114079e-05,2.2576942978803463e-05,1.5700983594344182e-05
6.579270807198608,0.02641947931847778,0.47216345415398453,1.2705893750760573,0.4502807802271732,0.14254523446460196,0.0010515395543338531,0.0054263022116385114,0.002454403685718067,0.00010872440313398187,8.475243883428292e-05,5.9156786833197956e-05
7.664356881957584,0.03843359654044117,2.0081735099024285,0.9623422782627761,0.003158682720387617,0.0325681263773874,0.0003739573857631091,0.0029357118654508036,0.0008710514154118754,4.6945595059657696e-05,3.136219622237022e-05,1.936734502524423e-05
2.379802420381526,0.02887266713948574,3.7178224102325514,1.206107295815309,0.10274113540682907,0.015529980637199885,0.0003658830989925457,0.019154056018078583,0.005166846512442851,4.05378007432029e-05,0.00010146489291702099,3.595010368833616e-05
1.6500138702281348,0.0441851543628741,3.5358167302945644,1.6517755100476703,0.21741387693518727,0.034806881030352364,0.0008718218676063977,0.0553016423152978,0.016700573733291556,4.1353388053164385e-05,0.00024278427108456773,7.072003303640163e-05
9.98542520603357,0.060208347645279325,0.6842599984629035,0.05228970426354452,0.2521818790290291,0.019587301074198912,0.00036326352339265773,0.004660736743322063,0.0011593535391297843,4.4968598167060975e-05,3.8004048140308875e-05,1.9171570861726186e-05
7.6967366024314465,0.02425936551477991,3.512750190650048,0.9485836956137087,0.21915170879172494,0.10168064888562041,0.0006327059443484004,0.002554836464699543,0.0011093551528164637,7.892738455571579e-05,5.2462509141319986e-05,3.935714341957378e-05
1.1366828139385337,0.06060990451421715,4.5435908645586025,1.7237914455072922,0.2925846159626288,0.06750471841238713,0.00335561741851721,0.10339856022956595,0.0353694535904958,4.640564709491887e-05,0.0004336563075912646,0.00011533755862316958
9.08182081790547,0.03833984492264659,2.7382530146469266,0.2073548031522871,0.30772615090140043,0.03655060968294338,0.0003758690343531447,0.001886436762315189,0.0005871185199978301,4.863528859923468e-05,2.4844460131897683e-05,1.770175521316717e-05
7.9310115743150424,0.011416050118751263,1.2677846061936926,0.1472680898087587,0.4816192294916891,0.028883927329768782,0.00036300559517937834,0.00016291794486853695,6.326185250195056e-05,4.5544383552126464e-05,1.0145530102702675e-05,1.3872790742959992e-05
2.251200708156998,0.04245258914458704,0.9646309337130325,0.2866954562853949,0.1177301632144992,0.14825279017915158,0.005450738281109438,0.028895866858467352,0.014450621525343772,9.167061216719722e-05,0.00018373191552532048,6.56114931498445e-05
1.4341364708907216,0.0359038222843902,1.329729190555858,0.12411982234217242,0.1786840564546323,0.11567555171107988,0.006339383491720973,0.03744960766566334,0.01824220222013777,6.88551687294153e-05,0.0002104124100220998,6.422568947615803e-05
1.6861582338165266,0.046430643106207765,4.119655050647072,0.3738621868360659,0.10707428542278558,0.13964502194601608,0.006971499645969546,0.04269225405391078,0.020591823346424485,8.154167303928451e-05,0.0002426343402813326,7.294506006656129e-05
4.314507374628142,0.013712813858564567,0.7426581577094402,0.38278675878767177,0.4192853814633452,0.06621221822722288,0.0008251912523649454,0.0018026171055541774,0.0010235553760353762,5.2991683218769924e-05,3.32646977120745e-05,2.35641577348509e-05
6.860879969084111,0.04223987186571624,4.396166692708273,1.0851444899317875,0.1508058702271092,0.04226524536991188,0.0004205930193552855,0.004755334068175344,0.0014930555576733796,5.02767534344271e-05,4.388236459433739e-05,2.3147288375181712e-05
5.706578174906891,0.04497021707957291,4.981171544415296,1.8534715571582223,0.1639935911173357,0.13814775053803482,0.0014280935258913913,0.01060453211432297,0.004517802434009201,0.00012024688119271526,0.00010472020548077946,6.121028000785587e-05
4.456391217150877,0.017635114296884698,4.331963024455315,1.1607687199086616,0.22332747336608313,0.14398185799525987,0.0018180061357244964,0.006436167213930285,0.003462972897684327,9.372433185360734e-05,9.491406971577167e-05,5.928235514844163e-05
4.499601617934678,0.01620375369059824,1.7513569806153184,1.8866181654644334,0.18850002717634137,0.04756425895117376,0.0005556365095712847,0.0016689811788835793,0.0007594572727278331,4.7942124533574204e-05,3.615702411691818e-05,2.3663923974838085e-05
1.518809918671456,0.010507312659503703,2.595902492764678,0.6672690646312744,0.31991223211324055,0.1415382626709093,0.007169856588199621,0.01457700079065677,0.010276336897020797,7.576645854288684e-05,0.0001239831998416216,5.8231602155453414e-05
9.516276592639827,0.0408580469629575,1.2103300916304116,1.4822129232408183,0.16408467603988822,0.08499803390330342,0.000507052600179592,0.0030540753199776536,0.0011188823642055284,8.034936722319657e-05,4.612806019155503e-05,3.4250596848674405e-05
6.272675867704049,0.06202226411210739,2.4457458842037,0.5584271270805451,0.33450342830620117,0.07217326406197344,0.0007148153312035929,0.011537992693975128,0.0039770986356884724,6.178214990208269e-05,7.960951439760717e-05,3.082690392039308e-05
1.257872798120909,0.03889501808733697,3.083746641298973,1.4951046142174176,0.46549253013945546,0.0013606796117269586,0.00036033127562149744,0.1178024080736328,0.028453059744461925,4.221130186148072e-05,0.0004961623828601069,0.00013359153451558236
8.52233058144058,0.056356336564634416,2.1386262680006896,1.0725482666679271,0.15251115396387074,0.03378336879065639,0.00036936210287954986,0.005721562302454268,0.0015833233213431754,4.8983061427759975e-05,4.655894975061588e-05,2.2384773279065646e-05
9.834707020155836,0.056534067894586336,2.4368912881522182,1.0387230840633563,0.09418646593582036,0.09558435102623815,0.0005706822851798592,0.005280980797850387,0.0018614474888619353,9.86350139762533e-05,5.9148363731327606e-05,3.7828400649476755e-05
8.980207820848154,0.05158949401610219,1.8073799310440928,1.6808435460045623,0.15161818522003376,0.140664987406402,0.0007765047508509622,0.0073033044165876455,0.0027079694148834732,0.0001705113192436708,8.829176508952664e-05,6.747995925228728e-05
9.136107518118221,0.017284069044771595,3.3423874161815936,0.11855174925394335,0.1681224710941282,0.11689612916807995,0.0005274101409657772,0.0018306855707525295,0.0007607184687123201,9.228024431752737e-05,5.849490591749924e-05,4.758389941032779e-05
7.10724846237555,0.045443192991392434,4.802407634392697,0.9847430817735147,0.33920336081725394,0.10493485212432106,0.0008332200871387032,0.006562632482293515,0.002603545007674392,8.77205104862369e-05,6.797225789598459e-05,4.030869626362961e-05
4.719478456891277,0.023264080707657515,0.4538566051555134,0.6579608067043918,0.2315930521993607,0.032289910394348136,0.00043769706805608656,0.002684888209119654,0.0009425501710440879,4.5207737566544e-05,2.853455587124706e-05,1.8020107987079345e-05
3.236601146925747,0.02299629364965423,1.597680149048358,1.6969552354998596,0.06017889691160536,0.015607415159784206,0.0003502763985306812,0.00660233626453964,0.001785931321110945,4.125326732364912e-05,5.099375776791779e-05,2.3567424567363112e-05
2.388811769877363,0.05890334828660116,4.876692957269158,1.7661014608210759,0.25849632302079945,0.06484547293150199,0.0015193834499412024,0.04385263993625858,0.014820903217449416,4.9199713906141595e-05,0.00021152235424681356,6.136603148788026e-05
4.727550921981883,0.048777623822083435,4.060794030709578,1.0651638825923586,0.26170607574402543,0.13099723962354493,0.0018405215662578825,0.013888646010888232,0.006037818770700877,9.701553924114206e-05,0.00010825935140490123,5.1271418073974885e-05
8.90972767385453,0.06146967703312234,3.476281885950106,1.4693124100477486,0.386523833036783,0.0714982951967734,0.0005124099881300695,0.006528005687600946,0.002133946137239691,7.853798351195774e-05,6.483868954037116e-05,3.140821320974209e-05
