basin_id,objective,loss,mse_u,mse_v,mse_combined,mse_du,mse_dv,mse_d_combined,converged,n_iter,seed_interior,at_boundary,K,s,c_exponent,c_max,firing_threshold,idio_std
0,mse_dv,4.359163306302951e-06,0.0004266018819266211,0.0004498370964953255,0.00020672785070086444,4.253860011386677e-05,4.359163306302951e-06,1.0508269389462896e-05,False,500,False,True,9.999999981267777,0.01,5.0,0.06472738740393369,0.49999996733872254,0.001
2,mse_dv,4.3616334028583905e-06,0.00042661451656242485,0.00045012225438807203,0.0002067347131001852,4.261169681408088e-05,4.3616334028583905e-06,1.0522069048220234e-05,True,69,False,True,10.0,0.01,5.0,0.05,0.5,0.001
3,mse_dv,4.3616334028583905e-06,0.00042661451656242485,0.00045012225438807203,0.0002067347131001852,4.261169681408088e-05,4.3616334028583905e-06,1.0522069048220234e-05,True,93,False,True,10.0,0.01,5.0,0.05,0.5,0.001
4,mse_dv,4.3616334028583905e-06,0.00042661451656242485,0.00045012225438807203,0.0002067347131001852,4.261169681408088e-05,4.3616334028583905e-06,1.0522069048220234e-05,True,63,True,True,10.0,0.01,5.0,0.05,0.5,0.001
1,mse_dv,4.365610265879053e-06,0.00042647403163722163,0.0004499557530116249,0.00020663584001969518,4.2649888033661266e-05,4.365610265879053e-06,1.0546808727191523e-05,True,229,False,True,10.0,0.01,0.25,0.24093942948395847,0.5,0.001
