basin_id,objective,loss,mse_u,mse_v,mse_combined,mse_du,mse_dv,mse_d_combined,mse_bc,mse_flow,converged,n_iter,seed_interior,at_boundary,K,c_exponent,idio_std
0,mse_u,0.00029217469778098715,0.00029217469778098715,0.0035559179810659347,0.0009140412963168534,5.132491567840316e-06,3.605332801702569e-05,8.233770607147225e-06,0.0038480926788469223,4.1185819584866e-05,True,86,True,True,2.0,0.9285016846384122,0.01303848008235364
3,mse_u,0.0002921746977809965,0.0002921746977809965,0.0035559160342079677,0.0009140411586371921,5.132476112550912e-06,3.605330113130847e-05,8.233766768818895e-06,0.003848090731988964,4.118577724385938e-05,True,80,False,True,2.0,0.9284958858427605,0.013038483060617556
4,mse_u,0.00029217469778105394,0.00029217469778105394,0.0035559179979565707,0.0009140411611975203,5.132490766109527e-06,3.605332687405455e-05,8.233770020575281e-06,0.0038480926957376246,4.118581764016408e-05,True,112,True,True,2.0,0.9285013879042978,0.01303847383944767
1,mse_u,0.00029880050677031007,0.00029880050677031007,0.00012359468712833197,5.612584497511187e-05,6.338214354887787e-06,1.1883295759425451e-05,4.758051615884742e-06,0.000422395193898642,1.8221510114313238e-05,True,48,False,True,7.0,0.25,0.030157636272377823
2,mse_u,0.000298809934424896,0.000298809934424896,0.00015265866128036913,6.40248113634718e-05,5.505726806957873e-06,1.1656879764297513e-05,4.314349556495312e-06,0.0004514685957052651,1.7162606571255388e-05,True,122,False,True,6.193691650104457,0.25,0.026365838490717806
