basin_id,objective,loss,mse_u,mse_v,mse_combined,mse_du,mse_dv,mse_d_combined,mse_bc,mse_flow,converged,n_iter,seed_interior,at_boundary,K,c_exponent,idio_std
0,mse_dv,5.881106818584681e-06,0.0004230437890426544,6.858039013929596e-05,8.248135043274893e-05,3.9523309180912085e-06,5.881106818584681e-06,2.1995381841151015e-06,0.0004916241791819505,9.833437736675888e-06,True,19,False,True,7.0,0.25,0.001
1,mse_dv,5.881106818584681e-06,0.0004230437890426544,6.858039013929596e-05,8.248135043274893e-05,3.9523309180912085e-06,5.881106818584681e-06,2.1995381841151015e-06,0.0004916241791819505,9.833437736675888e-06,True,12,False,True,7.0,0.25,0.001
2,mse_dv,5.881106818584681e-06,0.0004230437890426544,6.858039013929596e-05,8.248135043274893e-05,3.9523309180912085e-06,5.881106818584681e-06,2.1995381841151015e-06,0.0004916241791819505,9.833437736675888e-06,True,14,True,True,7.0,0.25,0.001
3,mse_dv,5.881106818584681e-06,0.0004230437890426544,6.858039013929596e-05,8.248135043274893e-05,3.9523309180912085e-06,5.881106818584681e-06,2.1995381841151015e-06,0.0004916241791819505,9.833437736675888e-06,True,21,False,True,7.0,0.25,0.001
4,mse_dv,5.881106818584681e-06,0.0004230437890426544,6.858039013929596e-05,8.248135043274893e-05,3.9523309180912085e-06,5.881106818584681e-06,2.1995381841151015e-06,0.0004916241791819505,9.833437736675888e-06,True,23,True,True,7.0,0.25,0.001
