basin_id,objective,loss,mse_u,mse_v,mse_combined,mse_du,mse_dv,mse_d_combined,mse_bc,mse_flow,converged,n_iter,seed_interior,at_boundary,K,c_exponent,idio_std
2,mse_combined,4.09306752830086e-05,0.0003116032312342888,7.47771553833445e-05,4.09306752830086e-05,4.832644679144577e-06,8.741087489558988e-06,3.347185747936208e-06,0.00038638038661763333,1.3573732168703565e-05,True,139,False,True,7.0,0.25,0.019007005662687308
0,mse_combined,4.093067528387819e-05,0.0003116032636802163,7.477712447543547e-05,4.093067528387819e-05,4.832643316936741e-06,8.741084522760645e-06,3.34718440862284e-06,0.0003863803881556518,1.3573727839697385e-05,True,37,False,True,7.0,0.25,0.01900699307675472
1,mse_combined,4.0930675654972146e-05,0.0003115975559837274,7.478256409103002e-05,4.0930675654972146e-05,4.832882957374044e-06,8.741606273687483e-06,3.347419764843353e-06,0.00038638012007475745,1.3574489231061527e-05,True,130,False,True,7.0,0.25,0.019009207626703176
3,mse_combined,4.093067571867456e-05,0.00031159716280727633,7.478293890426144e-05,4.093067571867456e-05,4.832899475182199e-06,8.741642170997217e-06,3.3474359532649568e-06,0.00038638010171153787,1.3574541646179415e-05,True,58,True,True,7.0,0.25,0.01900936020608506
4,mse_combined,4.093068311016022e-05,0.0003116086664472788,7.477232800907031e-05,4.093068311016022e-05,4.832446331886165e-06,8.740629275325129e-06,3.34698002847835e-06,0.0003863809944563491,1.3573075607211298e-05,True,228,False,True,6.999993938567698,0.2500041386181574,0.019004932343696587
