K,c_exponent,idio_std,mse_d_combined,mse_bc,mse_flow,mse_path
2.875795455881785,7.1828740524384855,0.004417165124175529,0.001120761526571149,0.24569756282285754,0.004764178801037961,2930.8020233413054
13.805371949849915,0.9215478654551948,0.02284029484188123,0.0001971796569698773,0.012371676472511035,0.0008286342511671087,313.3408194952858
16.974947840520848,1.474139565341304,0.04730985225100708,0.0006473666199803963,0.005341769939335891,0.002576580423255353,777.7905982993258
15.974467247896065,8.122498782471691,0.04371567685697992,0.0012426732363375228,0.021280698853856077,0.004773493514767705,1515.4685356297084
19.625418637489673,3.8243618740691963,0.04799590065732127,0.001755362174197725,0.018648053747465754,0.006970971049706891,2153.781866982612
4.147325086417103,2.079599600475352,0.04058410757601061,0.000120902413406921,0.022126574338940053,0.0005795404087066919,297.89484181704285
2.470610948159579,8.908968942797244,0.017280658278804834,0.0006070471348599623,0.14952015835513877,0.0026553507295174338,1702.4320197744246
18.779277235493016,9.854258136120821,0.009183631637634238,0.0022656321218677347,0.1571872330076273,0.008865948084565152,3580.490913079585
10.248615365763712,8.605710126469024,0.01752032922757687,0.0014861994498891451,0.18307473776444463,0.006089174890646963,2925.074390035591
16.200728257126503,1.3799747022948667,0.023933245805400398,0.0009242784342619629,0.03747175675433244,0.0037763852434895104,1342.7279355636283
1.5058390242383042,7.750610492944397,0.05290405861240735,0.00014585703766378794,0.04388087826932903,0.0007337637967314598,468.98524311863014
17.274583443072625,7.026018267872962,0.021613391458684045,0.0021576814503495583,0.06290439064734835,0.008480947428512884,2885.823583803654
18.841538256364394,0.939099731147369,0.03652578286511716,0.00038063802265064003,0.003969696170217267,0.0015164333814715486,460.204349138493
3.5704037825250547,1.7811409332161345,0.01665601941185304,0.00036643882306750404,0.0726274490341174,0.0016205496952149691,924.6200773355122
16.86141659885241,6.174579686715364,0.013461788957937676,0.002513652078456967,0.10883935716104846,0.009896728768908477,3594.478654417535
15.71016957462382,8.228684005722865,0.02960046391692705,0.0018259299439314656,0.04146261157867592,0.007118277857481525,2344.651388759365
6.506807416943869,5.424179761194585,0.018489122399716333,0.0008446003695642412,0.14859912181282495,0.0035569541880496993,1965.2445505858886
17.900903961166268,2.3833467996145963,0.05869508897189298,0.00044982216929161486,0.005585727662609271,0.0017689095068204425,522.2871253681585
16.491227551699268,8.971144690128998,0.029030859954735387,0.0017983973255818117,0.043853131933938146,0.007033074013091825,2334.000288063605
