basin_id,objective,loss,mse_u,mse_v,mse_combined,mse_du,mse_dv,mse_d_combined,mse_bc,mse_flow,converged,n_iter,seed_interior,at_boundary,K,c_exponent,idio_std
0,mse_v,6.319224747007788e-05,0.00037774193916946053,6.319224747007788e-05,5.87209604450647e-05,3.861671254528777e-06,6.5320033110251765e-06,2.331345972349739e-06,0.00044093418663953844,1.0393674565553955e-05,True,67,False,True,6.7725448295922765,0.25,0.005931320847154618
3,mse_v,6.328153331097433e-05,0.0003585316292454358,6.328153331097433e-05,5.450670992507881e-05,3.9934258360648385e-06,6.72708624023399e-06,2.460335252250859e-06,0.00042181316255641017,1.0720512076298828e-05,True,40,True,True,7.0,0.25,0.008712686501282704
1,mse_v,6.328153352959867e-05,0.0003585289787921738,6.328153352959867e-05,5.450566227369383e-05,3.993445323496519e-06,6.7271445618648305e-06,2.460359506173907e-06,0.0004218105123217725,1.072058988536135e-05,True,62,False,True,7.0,0.25,0.008713077534942888
2,mse_v,6.328153464272668e-05,0.0003585638869631838,6.328153464272668e-05,5.4519457609059415e-05,3.993190183867682e-06,6.726377998075634e-06,2.4600409164987744e-06,0.0004218454216059105,1.0719568181943315e-05,True,61,False,True,6.999999949357123,0.2500001767483311,0.00870792976797143
4,mse_v,6.814399230291138e-05,0.00043261140754953336,6.814399230291138e-05,8.253163400451992e-05,5.184091622390803e-06,6.913202647320089e-06,2.8408254478894118e-06,0.0005007553998524447,1.2097294269710893e-05,True,54,False,True,7.0,0.3810880990862403,0.001
