K,s,c_exponent,zero_fraction,firing_threshold,idio_std,slope_u,slope_v,slope_combined
4.033630383126786,0.03221571919576125,0.9129385397140957,0.035983472364471476,0.17518672976079971,0.04101229484188122,2.0697717710499557,1.8827285864451788,0.8028753709903665
3.7239336422423284,0.028754345309511438,0.5551845625128018,0.19806492757621222,0.13018414644587847,0.05870167685697992,2.0462475674542246,1.8577803245779685,0.8246900421781374
5.831425957234124,0.05095697729822251,0.38390551683035506,0.2858243443793974,0.2731368210776501,0.008606107576010607,2.102521334069145,1.9173213740263069,0.8067358028637368
3.1270028810946258,0.02644195815009221,0.42395752049328184,0.15387571672350042,0.3253293755853064,0.005053631637634239,2.076079388409998,1.9122830202317476,0.8138592415253025
2.8938461488851877,0.05776546902011642,0.44050418509631617,0.1640191646612238,0.3933144580155193,0.04942124580540039,2.0277509496731834,1.9010448612456092,0.7755623792356997
5.19311553269429,0.03391499707184188,0.5152973552424664,0.3022785116598059,0.45647464567752427,0.009223391458684043,2.1041581739845276,1.9106646358503154,0.816262497746471
2.6351416464116824,0.02369994609490859,0.5125989347260655,0.22064220480329091,0.20642847016927024,0.040964019411853035,2.022854708437242,1.8773676000625674,0.8367471922850476
2.264056999698003,0.04426958798970436,0.7669125714992078,0.46910972564799525,0.3587728424064666,0.01768246391692705,1.9802971432857375,1.9097791077793989,0.8280147006780734
5.849159846564176,0.020555062026711195,0.6223193525387669,0.4347606305570071,0.0881235157691893,0.046069088971892984,2.0792511582667794,1.8415056062953599,0.8999033723738257
1.6466388293945435,0.025656474847979466,0.849324490950026,0.1022036757297127,0.04576935779100625,0.0158618614864744,1.9600850013119127,1.8996250022343777,0.8372931856177421
1.5759544816017845,0.04473213382599417,0.5993638704315714,0.33241966761401315,0.34670130386718107,0.03348870460440115,1.948798484176901,1.8961589069468685,0.8149800329304226
3.288004845560318,0.03179520982005442,0.8914523347476327,0.11189450472042976,0.08237089184846029,0.0010085957627379916,2.2064007717668686,1.9084885098373805,0.7292370053855299
3.805596228452842,0.04052408685556783,0.6647501562794684,0.06457477137515093,0.23337978654798464,0.022122578612382232,2.06518855611316,1.9060080343848174,0.8066807645277807
1.5405105632506224,0.037778595937462175,0.27286340673203757,0.31850257730451237,0.08647068783980323,0.03135127728731577,1.9382294810671263,1.8947944277820907,0.8202206261441173
3.415853441506443,0.020473896478539016,0.29843328568301536,0.06606794031338663,0.03488506736671909,0.019203976216184998,2.0317774799221593,1.8943160547291562,0.8513269850351881
4.2407257607137545,0.04223288664290678,0.41797794054255194,0.33713635990975444,0.3920188049599337,0.04218704919880591,2.0449291048746083,1.8983986421757857,0.7872307897691534
4.968512359877675,0.05123246340675593,0.3881650966664192,0.4981776261724569,0.3765200120761922,0.04699257999548256,2.061864675798244,1.9064130046834542,0.7687854651893802
3.051981194212817,0.02855688228561949,0.5316008045915616,0.08046106559237781,0.33155724717102547,0.007026139956714223,2.066278355460691,1.9114025360454268,0.8149346194625855
4.099594892888115,0.033434119442390914,0.2850784401295765,0.3129716346348865,0.4502807802271732,0.057048112975916214,2.0429947756196563,1.8681474790080932,0.8089639916788984
4.7024204899764355,0.04326385171490641,0.5276063436688045,0.2339339175032759,0.003158682720387617,0.013500130578965482,2.081080171066471,1.9132409041908185,0.8071359353630668
1.7665569002119588,0.0354412731141247,0.7975509068788239,0.2964377681577715,0.10274113540682907,0.006753482265736867,1.9715365189737848,1.9098404394113093,0.8377730022689123
1.3611188167934083,0.04796967175144244,0.7688131679412471,0.4107116692429924,0.21741387693518727,0.014386617320743554,1.9064886490263309,1.9048759401859232,0.849774925313182
5.991902892240872,0.06107955716431944,0.3185673681783532,0.0005871036573191073,0.2521818790290291,0.008360072237434468,2.1360852341774033,1.9177452742654582,0.8099153107244295
4.720409223573026,0.031666753603001745,0.7651710827342181,0.23040607579838684,0.21915170879172494,0.040866834122493985,2.0725811720189413,1.8783851616415084,0.8117484275986374
1.0759348966325186,0.061408103693450386,0.9279353996671478,0.4291772937198185,0.2925846159626288,0.027334083129737185,1.897465603492322,1.8979804991506413,0.8408404053195284
5.489900454391927,0.04318714584580176,0.6428820549442515,0.04034738542366336,0.30772615090140043,0.015077087055662144,2.1220313057125963,1.9110843739110308,0.7963485954762339
4.850561985730579,0.021158586460796488,0.4107028325568989,0.024940535848399663,0.4816192294916891,0.012041286660780928,2.0955516408949424,1.8979048008848367,0.8352027852695061
1.6951115045316654,0.04655211839102576,0.36283646321784724,0.06069114263728074,0.1177301632144992,0.05930815181590566,1.9936689266005057,1.8872467916448596,0.7818355163367829
1.2411869282726231,0.041194036414501076,0.4204835564035565,0.019005082651839082,0.1786840564546323,0.046408439939286665,1.9397144040131593,1.8849489457863318,0.7996396363324821
1.3811990187869592,0.04980688981416999,0.860998165891643,0.08304158636822204,0.10707428542278558,0.05589970667661039,1.9718712560055331,1.8869383441818954,0.7824942228290799
2.8413929859045233,0.02303775679337101,0.3277881301646485,0.08532993815068507,0.4192853814633452,0.026822287754403693,2.019880326598004,1.8915009999898988,0.8401026755410115
4.256044427268951,0.04637807698104056,0.9046578988486748,0.2654216640850737,0.1508058702271092,0.017339929374663093,2.0816076627603013,1.9116948503891107,0.801220295560801
