basin_id,objective,loss,slope_u,slope_v,slope_combined,converged,n_iter,seed_interior,at_boundary,K,s,c_exponent,zero_fraction,firing_threshold,idio_std
4,slope_v,1.8245479957763922,2.1072689449327453,1.8245479957763922,0.9222706194421947,True,309,False,True,6.0,0.02,1.0,0.0279226253644963,0.0,0.06
1,slope_v,1.8247806025956894,2.1091210326712173,1.8247806025956894,0.9238959511599558,True,83,False,True,6.0,0.02,1.0,0.0,0.0,0.06
3,slope_v,1.8247806025956894,2.1091210326712173,1.8247806025956894,0.9238959511599558,True,54,False,True,6.0,0.02,1.0,0.0,0.0,0.06
0,slope_v,1.8272137906046373,2.090886381460783,1.8272137906046373,0.9215629030310535,True,260,False,True,6.0,0.02,1.0,0.4057863030751562,0.0,0.06
2,slope_v,1.8284581748581665,2.0810396171050716,1.8284581748581665,0.922403422432676,True,96,True,True,6.0,0.02,0.25,0.04419739040041798,0.0,0.06
