K,s,c_exponent,zero_fraction,firing_threshold,idio_std,smm_loss
4.033630383126786,0.03221571919576125,0.9129385397140957,0.035983472364471476,0.17518672976079971,0.04101229484188122,123.0038235343138
3.7239336422423284,0.028754345309511438,0.5551845625128018,0.19806492757621222,0.13018414644587847,0.05870167685697992,104.56228294757979
5.831425957234124,0.05095697729822251,0.38390551683035506,0.2858243443793974,0.2731368210776501,0.008606107576010607,165.73554515775976
3.1270028810946258,0.02644195815009221,0.42395752049328184,0.15387571672350042,0.3253293755853064,0.005053631637634239,165.24146364621961
2.8938461488851877,0.05776546902011642,0.44050418509631617,0.1640191646612238,0.3933144580155193,0.04942124580540039,238.46484000427694
5.19311553269429,0.03391499707184188,0.5152973552424664,0.3022785116598059,0.45647464567752427,0.009223391458684043,140.8798085421755
2.6351416464116824,0.02369994609490859,0.5125989347260655,0.22064220480329091,0.20642847016927024,0.040964019411853035,133.4805551737558
2.264056999698003,0.04426958798970436,0.7669125714992078,0.46910972564799525,0.3587728424064666,0.01768246391692705,292.31355767667657
5.849159846564176,0.020555062026711195,0.6223193525387669,0.4347606305570071,0.0881235157691893,0.046069088971892984,59.34023662082054
1.6466388293945435,0.025656474847979466,0.849324490950026,0.1022036757297127,0.04576935779100625,0.0158618614864744,234.9953437900768
1.5759544816017845,0.04473213382599417,0.5993638704315714,0.33241966761401315,0.34670130386718107,0.03348870460440115,354.0517023144994
3.288004845560318,0.03179520982005442,0.8914523347476327,0.11189450472042976,0.08237089184846029,0.0010085957627379916,195.44839585927787
3.805596228452842,0.04052408685556783,0.6647501562794684,0.06457477137515093,0.23337978654798464,0.022122578612382232,170.48392872945485
1.5405105632506224,0.037778595937462175,0.27286340673203757,0.31850257730451237,0.08647068783980323,0.03135127728731577,308.7032688607348
3.415853441506443,0.020473896478539016,0.29843328568301536,0.06606794031338663,0.03488506736671909,0.019203976216184998,127.4176379160928
4.2407257607137545,0.04223288664290678,0.41797794054255194,0.33713635990975444,0.3920188049599337,0.04218704919880591,142.24733118100684
4.968512359877675,0.05123246340675593,0.3881650966664192,0.4981776261724569,0.3765200120761922,0.04699257999548256,141.1214812573228
